warn: Apr-05-2023 00:13:42: 	403 - Error: tasks details are invalid - /task/create - POST - ::1
warn: Apr-05-2023 00:14:13: 	403 - Error: tasks details are invalid - /task/create - POST - ::1
warn: Apr-05-2023 00:17:20: 	403 - TypeError: Cannot read properties of undefined (reading 'push') - /task/create - POST - ::1
warn: Apr-05-2023 00:18:10: 	403 - TypeError [ERR_INVALID_ARG_TYPE]: The "data" argument must be of type string or an instance of Buffer, TypedArray, or DataView. Received undefined - /task/create - POST - ::1
warn: Apr-05-2023 00:18:49: 	403 - TypeError [ERR_INVALID_ARG_TYPE]: The "data" argument must be of type string or an instance of Buffer, TypedArray, or DataView. Received undefined - /task/create - POST - ::1
warn: Apr-05-2023 00:19:14: 	403 - TypeError [ERR_INVALID_ARG_TYPE]: The "data" argument must be of type string or an instance of Buffer, TypedArray, or DataView. Received undefined - /task/create - POST - ::1
warn: Apr-05-2023 00:19:34: 	403 - TypeError [ERR_INVALID_ARG_TYPE]: The "data" argument must be of type string or an instance of Buffer, TypedArray, or DataView. Received undefined - /task/create - POST - ::1
warn: Apr-05-2023 09:40:10: 	403 - Error: tasks details are invalid - /task/create - POST - ::1
warn: Apr-05-2023 10:00:50: 	403 - Error: username incorrect! - /user/login - POST - ::1
warn: Apr-05-2023 10:10:15: 	403 - Error [ERR_HTTP_HEADERS_SENT]: Cannot set headers after they are sent to the client - /task/read-by-id - GET - ::1
warn: Apr-05-2023 10:20:46: 	403 - ReferenceError: task is not defined - /task/read-by-id - GET - ::1
warn: Apr-05-2023 10:24:12: 	403 - Error: invalid id - /task/read-by-id - GET - ::1
